combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
52,bio0_whs0_land4_list1000_bld750,False,False,4,1000,750,180402,178008,7514272471.1,751427.2,7514.3,81.0
53,bio0_whs0_land4_list1000_bld1000,False,False,4,1000,1000,110076,108568,4648551292.2,464855.1,4648.6,49.4
54,bio0_whs0_land4_list1000_bld1250,False,False,4,1000,1250,68559,67650,2921625253.7,292162.5,2921.6,30.8
55,bio0_whs0_land4_list1500_bld250,False,False,4,1500,250,680430,663770,27209669550.8,2720967.0,27209.7,302.2
56,bio0_whs0_land4_list1500_bld500,False,False,4,1500,500,325889,319794,13195137119.4,1319513.7,13195.1,145.6
57,bio0_whs0_land4_list1500_bld750,False,False,4,1500,750,178879,176536,7451494198.1,745149.4,7451.5,80.4
58,bio0_whs0_land4_list1500_bld1000,False,False,4,1500,1000,109646,108154,4631160936.7,463116.1,4631.2,49.2
59,bio0_whs0_land4_list1500_bld1250,False,False,4,1500,1250,68469,67570,2918666161.8,291866.6,2918.7,30.8
60,bio0_whs1_land1_list500_bld250,False,True,1,500,250,1144703,1110972,46695927119.3,4669592.7,46695.9,505.8
61,bio0_whs1_land1_list500_bld500,False,True,1,500,500,477030,466984,19505559952.6,1950556.0,19505.6,212.6
62,bio0_whs1_land1_list500_bld750,False,True,1,500,750,245836,242397,10280431588.3,1028043.2,10280.4,110.4
63,bio0_whs1_land1_list500_bld1000,False,True,1,500,1000,144096,141932,6087853597.1,608785.4,6087.9,64.6
64,bio0_whs1_land1_list500_bld1250,False,True,1,500,1250,86225,84900,3663902078.1,366390.2,3663.9,38.7
65,bio0_whs1_land1_list1000_bld250,False,True,1,1000,250,1054308,1025331,42836133156.7,4283613.3,42836.1,466.8
66,bio0_whs1_land1_list1000_bld500,False,True,1,1000,500,469856,460356,19214612931.1,1921461.3,19214.6,209.6
67,bio0_whs1_land1_list1000_bld750,False,True,1,1000,750,245472,242060,10266910814.5,1026691.1,10266.9,110.2
68,bio0_whs1_land1_list1000_bld1000,False,True,1,1000,1000,144082,141919,6087261778.7,608726.2,6087.3,64.6
69,bio0_whs1_land1_list1000_bld1250,False,True,1,1000,1250,86221,84896,3663719980.2,366372.0,3663.7,38.6
70,bio0_whs1_land1_list1500_bld250,False,True,1,1500,250,930978,908656,37588616137.4,3758861.6,37588.6,413.7
71,bio0_whs1_land1_list1500_bld500,False,True,1,1500,500,452647,444300,18508072832.1,1850807.3,18508.1,202.3
72,bio0_whs1_land1_list1500_bld750,False,True,1,1500,750,242812,239485,10157287840.4,1015728.8,10157.3,109.0
73,bio0_whs1_land1_list1500_bld1000,False,True,1,1500,1000,143400,141250,6060129182.1,606012.9,6060.1,64.3
74,bio0_whs1_land1_list1500_bld1250,False,True,1,1500,1250,86082,84769,3659258580.1,365925.9,3659.3,38.6
75,bio0_whs1_land2_list500_bld250,False,True,2,500,250,989882,958570,39773791701.6,3977379.2,39773.8,436.4
76,bio0_whs1_land2_list500_bld500,False,True,2,500,500,386976,377923,15458933479.3,1545893.3,15458.9,172.0
77,bio0_whs1_land2_list500_bld750,False,True,2,500,750,193726,190674,7929228205.8,792922.8,7929.2,86.8
78,bio0_whs1_land2_list500_bld1000,False,True,2,500,1000,112553,110687,4667307382.5,466730.7,4667.3,50.4
79,bio0_whs1_land2_list500_bld1250,False,True,2,500,1250,67027,65903,2800120387.4,280012.0,2800.1,30.0
80,bio0_whs1_land2_list1000_bld250,False,True,2,1000,250,905747,878869,36184140068.1,3618414.0,36184.1,400.1
81,bio0_whs1_land2_list1000_bld500,False,True,2,1000,500,380782,372243,15211143675.2,1521114.4,15211.1,169.5
82,bio0_whs1_land2_list1000_bld750,False,True,2,1000,750,193441,190413,7919167293.3,791916.7,7919.2,86.7
83,bio0_whs1_land2_list1000_bld1000,False,True,2,1000,1000,112548,110683,4667125284.5,466712.5,4667.1,50.4
84,bio0_whs1_land2_list1000_bld1250,False,True,2,1000,1250,67026,65902,2800074863.0,280007.5,2800.1,30.0
85,bio0_whs1_land2_list1500_bld250,False,True,2,1500,250,792146,771522,31360547108.3,3136054.7,31360.5,351.2
86,bio0_whs1_land2_list1500_bld500,False,True,2,1500,500,366211,358721,14619917111.7,1461991.7,14619.9,163.3
87,bio0_whs1_land2_list1500_bld750,False,True,2,1500,750,191431,188472,7838406846.4,783840.7,7838.4,85.8
88,bio0_whs1_land2_list1500_bld1000,False,True,2,1500,1000,112014,110162,4646730312.6,464673.0,4646.7,50.2
89,bio0_whs1_land2_list1500_bld1250,False,True,2,1500,1250,66910,65798,2796660526.1,279666.1,2796.7,30.0
90,bio0_whs1_land3_list500_bld250,False,True,3,500,250,829104,802150,33434825012.5,3343482.5,33434.8,365.2
91,bio0_whs1_land3_list500_bld500,False,True,3,500,500,320312,312866,12855615466.1,1285561.5,12855.6,142.4
92,bio0_whs1_land3_list500_bld750,False,True,3,500,750,164452,162045,6786745581.7,678674.6,6786.7,73.8
93,bio0_whs1_land3_list500_bld1000,False,True,3,500,1000,97989,96485,4098478868.4,409847.9,4098.5,43.9
94,bio0_whs1_land3_list500_bld1250,False,True,3,500,1250,59359,58452,2502890986.2,250289.1,2502.9,26.6
95,bio0_whs1_land3_list1000_bld250,False,True,3,1000,250,758429,735146,30412727207.4,3041272.7,30412.7,334.7
96,bio0_whs1_land3_list1000_bld500,False,True,3,1000,500,315520,308475,12663046869.5,1266304.7,12663.0,140.4
97,bio0_whs1_land3_list1000_bld750,False,True,3,1000,750,164234,161844,6778369075.4,677836.9,6778.4,73.7
98,bio0_whs1_land3_list1000_bld1000,False,True,3,1000,1000,97985,96482,4098342295.0,409834.2,4098.3,43.9
99,bio0_whs1_land3_list1000_bld1250,False,True,3,1000,1250,59359,58452,2502890986.2,250289.1,2502.9,26.6
100,bio0_whs1_land3_list1500_bld250,False,True,3,1500,250,662390,644509,26332230512.8,2633223.1,26332.2,293.4
101,bio0_whs1_land3_list1500_bld500,False,True,3,1500,500,304332,298141,12209349793.0,1220935.0,12209.3,135.7
102,bio0_whs1_land3_list1500_bld750,False,True,3,1500,750,162716,160380,6715954998.3,671595.5,6716.0,73.0
103,bio0_whs1_land3_list1500_bld1000,False,True,3,1500,1000,97556,96069,4080997463.9,408099.7,4081.0,43.7
104,bio0_whs1_land3_list1500_bld1250,False,True,3,1500,1250,59269,58372,2499931894.3,249993.2,2499.9,26.6
105,bio0_whs1_land4_list500_bld250,False,True,4,500,250,799788,775380,32217409076.4,3221740.9,32217.4,353.0
106,bio0_whs1_land4_list500_bld500,False,True,4,500,500,317723,310485,12747312702.2,1274731.3,12747.3,141.3
107,bio0_whs1_land4_list500_bld750,False,True,4,500,750,164108,161708,6771449352.8,677144.9,6771.4,73.6
108,bio0_whs1_land4_list500_bld1000,False,True,4,500,1000,97900,96397,4094472713.2,409447.3,4094.5,43.9
109,bio0_whs1_land4_list500_bld1250,False,True,4,500,1250,59348,58446,2502617839.3,250261.8,2502.6,26.6
110,bio0_whs1_land4_list1000_bld250,False,True,4,1000,250,735429,714172,29458761500.2,2945876.2,29458.8,325.1
111,bio0_whs1_land4_list1000_bld500,False,True,4,1000,500,313166,306285,12563439283.4,1256343.9,12563.4,139.4
112,bio0_whs1_land4_list1000_bld750,False,True,4,1000,750,163893,161508,6763118370.9,676311.8,6763.1,73.5
113,bio0_whs1_land4_list1000_bld1000,False,True,4,1000,1000,97896,96394,4094336139.8,409433.6,4094.3,43.9
114,bio0_whs1_land4_list1000_bld1250,False,True,4,1000,1250,59348,58446,2502617839.3,250261.8,2502.6,26.6
115,bio0_whs1_land4_list1500_bld250,False,True,4,1500,250,647321,630704,25704356734.1,2570435.7,25704.4,287.1
116,bio0_whs1_land4_list1500_bld500,False,True,4,1500,500,302445,296363,12128452772.7,1212845.3,12128.5,134.9
117,bio0_whs1_land4_list1500_bld750,False,True,4,1500,750,162384,160051,6701022965.3,670102.3,6701.0,72.9
118,bio0_whs1_land4_list1500_bld1000,False,True,4,1500,1000,97467,95981,4076991308.7,407699.1,4077.0,43.7
119,bio0_whs1_land4_list1500_bld1250,False,True,4,1500,1250,59258,58366,2499658747.4,249965.9,2499.7,26.6
120,bio1_whs0_land1_list500_bld250,True,False,1,500,250,791052,761811,33029748092.3,3302974.8,33029.7,346.8
121,bio1_whs0_land1_list500_bld500,True,False,1,500,500,286505,278597,11897643603.7,1189764.4,11897.6,126.8
122,bio1_whs0_land1_list500_bld750,True,False,1,500,750,140795,138472,5955604951.0,595560.5,5955.6,63.0
123,bio1_whs0_land1_list500_bld1000,True,False,1,500,1000,81766,80433,3492365796.4,349236.6,3492.4,36.6
124,bio1_whs0_land1_list500_bld1250,True,False,1,500,1250,48687,47864,2094809449.6,209480.9,2094.8,21.8
125,bio1_whs0_land1_list1000_bld250,True,False,1,1000,250,711535,686634,29622422045.0,2962242.2,29622.4,312.6
126,bio1_whs0_land1_list1000_bld500,True,False,1,1000,500,280593,273186,11655999605.9,1165600.0,11656.0,124.4
127,bio1_whs0_land1_list1000_bld750,True,False,1,1000,750,140566,138261,5947182920.2,594718.3,5947.2,62.9
128,bio1_whs0_land1_list1000_bld1000,True,False,1,1000,1000,81763,80431,3492274747.4,349227.5,3492.3,36.6
129,bio1_whs0_land1_list1000_bld1250,True,False,1,1000,1250,48687,47864,2094809449.6,209480.9,2094.8,21.8
130,bio1_whs0_land1_list1500_bld250,True,False,1,1500,250,605122,586336,25081900369.7,2508190.0,25081.9,266.9
131,bio1_whs0_land1_list1500_bld500,True,False,1,1500,500,267172,260787,11101420257.5,1110142.0,11101.4,118.7
132,bio1_whs0_land1_list1500_bld750,True,False,1,1500,750,138763,136515,5871111495.9,587111.1,5871.1,62.1
133,bio1_whs0_land1_list1500_bld1000,True,False,1,1500,1000,81306,79982,3473700755.1,347370.1,3473.7,36.4
134,bio1_whs0_land1_list1500_bld1250,True,False,1,1500,1250,48596,47780,2091668259.8,209166.8,2091.7,21.8
135,bio1_whs0_land2_list500_bld250,True,False,2,500,250,709894,682748,29439550165.0,2943955.0,29439.6,310.8
136,bio1_whs0_land2_list500_bld500,True,False,2,500,500,243617,236466,9983748481.0,998374.8,9983.7,107.6
137,bio1_whs0_land2_list500_bld750,True,False,2,500,750,117580,115534,4913048584.5,491304.9,4913.0,52.6
138,bio1_whs0_land2_list500_bld1000,True,False,2,500,1000,68472,67321,2896632308.2,289663.2,2896.6,30.6
139,bio1_whs0_land2_list500_bld1250,True,False,2,500,1250,41005,40309,1751645837.1,175164.6,1751.6,18.4
140,bio1_whs0_land2_list1000_bld250,True,False,2,1000,250,635357,612269,26245961602.5,2624596.2,26246.0,278.7
141,bio1_whs0_land2_list1000_bld500,True,False,2,1000,500,238479,231792,9775656033.0,977565.6,9775.7,105.5
142,bio1_whs0_land2_list1000_bld750,True,False,2,1000,750,117399,115370,4906766204.7,490676.6,4906.8,52.5
143,bio1_whs0_land2_list1000_bld1000,True,False,2,1000,1000,68470,67320,2896586783.7,289658.7,2896.6,30.6
144,bio1_whs0_land2_list1000_bld1250,True,False,2,1000,1250,41005,40309,1751645837.1,175164.6,1751.6,18.4
145,bio1_whs0_land2_list1500_bld250,True,False,2,1500,250,536269,518890,22020105208.5,2202010.5,22020.1,236.2
146,bio1_whs0_land2_list1500_bld500,True,False,2,1500,500,226968,221216,9304067831.6,930406.8,9304.1,100.7
147,bio1_whs0_land2_list1500_bld750,True,False,2,1500,750,116077,114092,4852000242.1,485200.0,4852.0,51.9
