combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
51,bio0_whs0_land4_list1000_bld500,False,False,4,1000,500,1173676,1153497,11568665735.6,1156866.6,11568.7,255.1
52,bio0_whs0_land4_list1000_bld750,False,False,4,1000,750,607966,600237,6162001463.8,616200.1,6162.0,132.8
53,bio0_whs0_land4_list1000_bld1000,False,False,4,1000,1000,373596,369119,3835928742.7,383592.9,3835.9,81.6
54,bio0_whs0_land4_list1000_bld1250,False,False,4,1000,1250,183640,181363,1907270368.9,190727.0,1907.3,40.1
55,bio0_whs0_land4_list1500_bld250,False,False,4,1500,250,1901847,1861447,18393518411.0,1839351.8,18393.5,411.7
56,bio0_whs0_land4_list1500_bld500,False,False,4,1500,500,1140951,1122869,11241154997.3,1124115.5,11241.2,248.4
57,bio0_whs0_land4_list1500_bld750,False,False,4,1500,750,602703,595180,6109040162.9,610904.0,6109.0,131.6
58,bio0_whs0_land4_list1500_bld1000,False,False,4,1500,1000,371971,367545,3819163377.9,381916.3,3819.2,81.3
59,bio0_whs0_land4_list1500_bld1250,False,False,4,1500,1250,183513,181240,1905965413.0,190596.5,1906.0,40.1
60,bio0_whs1_land1_list500_bld250,False,True,1,500,250,3035812,2956957,29877538960.4,2987753.9,29877.5,654.0
61,bio0_whs1_land1_list500_bld500,False,True,1,500,500,1669500,1639171,16610694381.5,1661069.4,16610.7,362.6
62,bio0_whs1_land1_list500_bld750,False,True,1,500,750,825940,814319,8395411261.4,839541.1,8395.4,180.1
63,bio0_whs1_land1_list500_bld1000,False,True,1,500,1000,487090,480459,4999208400.1,499920.8,4999.2,106.3
64,bio0_whs1_land1_list500_bld1250,False,True,1,500,1250,223696,220371,2309948775.2,230994.9,2309.9,48.7
65,bio0_whs1_land1_list1000_bld250,False,True,1,1000,250,2874948,2806335,28234754386.5,2823475.4,28234.8,620.7
66,bio0_whs1_land1_list1000_bld500,False,True,1,1000,500,1646631,1617730,16381586160.4,1638158.6,16381.6,357.8
67,bio0_whs1_land1_list1000_bld750,False,True,1,1000,750,824754,813159,8383357008.3,838335.7,8383.4,179.9
68,bio0_whs1_land1_list1000_bld1000,False,True,1,1000,1000,486993,480361,4998179917.9,499818.0,4998.2,106.2
69,bio0_whs1_land1_list1000_bld1250,False,True,1,1000,1250,223676,220352,2309782891.0,230978.3,2309.8,48.7
70,bio0_whs1_land1_list1500_bld250,False,True,1,1500,250,2639757,2584936,25826856510.9,2582685.7,25826.9,571.7
71,bio0_whs1_land1_list1500_bld500,False,True,1,1500,500,1591093,1565168,15817546647.1,1581754.7,15817.5,346.2
72,bio0_whs1_land1_list1500_bld750,False,True,1,1500,750,815445,804176,8289665602.8,828966.6,8289.7,177.9
73,bio0_whs1_land1_list1500_bld1000,False,True,1,1500,1000,484304,477753,4971395146.4,497139.5,4971.4,105.7
74,bio0_whs1_land1_list1500_bld1250,False,True,1,1500,1250,223474,220152,2307913928.8,230791.4,2307.9,48.7
75,bio0_whs1_land2_list500_bld250,False,True,2,500,250,2542044,2469854,24502271041.3,2450227.1,24502.3,546.3
76,bio0_whs1_land2_list500_bld500,False,True,2,500,500,1338937,1312145,13000766295.5,1300076.6,13000.8,290.2
77,bio0_whs1_land2_list500_bld750,False,True,2,500,750,645595,635609,6422362271.2,642236.2,6422.4,140.6
78,bio0_whs1_land2_list500_bld1000,False,True,2,500,1000,377696,372109,3802685545.7,380268.6,3802.7,82.3
79,bio0_whs1_land2_list500_bld1250,False,True,2,500,1250,172567,169796,1751427676.8,175142.8,1751.4,37.6
80,bio0_whs1_land2_list1000_bld250,False,True,2,1000,250,2395591,2332975,23011347938.2,2301134.8,23011.3,516.0
81,bio0_whs1_land2_list1000_bld500,False,True,2,1000,500,1319716,1294193,12810242743.2,1281024.3,12810.2,286.2
82,bio0_whs1_land2_list1000_bld750,False,True,2,1000,750,644753,634780,6413968529.8,641396.9,6414.0,140.4
83,bio0_whs1_land2_list1000_bld1000,False,True,2,1000,1000,377666,372082,3802442248.8,380244.2,3802.4,82.3
84,bio0_whs1_land2_list1000_bld1250,False,True,2,1000,1250,172555,169785,1751350264.2,175135.0,1751.4,37.6
85,bio0_whs1_land2_list1500_bld250,False,True,2,1500,250,2186601,2136913,20882998144.4,2088299.8,20883.0,472.6
86,bio0_whs1_land2_list1500_bld500,False,True,2,1500,500,1275006,1252172,12362731362.6,1236273.1,12362.7,277.0
87,bio0_whs1_land2_list1500_bld750,False,True,2,1500,750,638015,628310,6348068260.0,634806.8,6348.1,139.0
88,bio0_whs1_land2_list1500_bld1000,False,True,2,1500,1000,375653,370127,3782878970.2,378287.9,3782.9,81.9
89,bio0_whs1_land2_list1500_bld1250,False,True,2,1500,1250,172385,169615,1749813070.5,174981.3,1749.8,37.5
90,bio0_whs1_land3_list500_bld250,False,True,3,500,250,2097527,2036768,20287584396.2,2028758.4,20287.6,450.5
91,bio0_whs1_land3_list500_bld500,False,True,3,500,500,1104302,1082930,10782374548.9,1078237.5,10782.4,239.5
92,bio0_whs1_land3_list500_bld750,False,True,3,500,750,548801,541123,5507765172.4,550776.5,5507.8,119.7
93,bio0_whs1_land3_list500_bld1000,False,True,3,500,1000,328610,324176,3338862217.1,333886.2,3338.9,71.7
94,bio0_whs1_land3_list500_bld1250,False,True,3,500,1250,153758,151512,1577105483.1,157710.5,1577.1,33.5
95,bio0_whs1_land3_list1000_bld250,False,True,3,1000,250,1978505,1925683,19075955019.2,1907595.5,19076.0,425.9
96,bio0_whs1_land3_list1000_bld500,False,True,3,1000,500,1089880,1069453,10639094821.5,1063909.5,10639.1,236.5
97,bio0_whs1_land3_list1000_bld750,False,True,3,1000,750,548140,540472,5501063450.1,550106.3,5501.1,119.5
98,bio0_whs1_land3_list1000_bld1000,False,True,3,1000,1000,328597,324166,3338795863.4,333879.6,3338.8,71.7
99,bio0_whs1_land3_list1000_bld1250,False,True,3,1000,1250,153753,151508,1577105483.1,157710.5,1577.1,33.5
100,bio0_whs1_land3_list1500_bld250,False,True,3,1500,250,1807598,1765818,17335409347.0,1733540.9,17335.4,390.6
101,bio0_whs1_land3_list1500_bld500,False,True,3,1500,500,1056178,1037949,10301896445.0,1030189.6,10301.9,229.6
102,bio0_whs1_land3_list1500_bld750,False,True,3,1500,750,542929,535468,5448688273.4,544868.8,5448.7,118.4
103,bio0_whs1_land3_list1500_bld1000,False,True,3,1500,1000,326991,322610,3322229559.7,332223.0,3322.2,71.4
104,bio0_whs1_land3_list1500_bld1250,False,True,3,1500,1250,153626,151385,1575800527.2,157580.1,1575.8,33.5
105,bio0_whs1_land4_list500_bld250,False,True,4,500,250,2055308,1997930,19858906403.7,1985890.6,19858.9,441.9
106,bio0_whs1_land4_list500_bld500,False,True,4,500,500,1097439,1076467,10711033276.8,1071103.3,10711.0,238.1
107,bio0_whs1_land4_list500_bld750,False,True,4,500,750,547896,540225,5497834237.3,549783.4,5497.8,119.5
108,bio0_whs1_land4_list500_bld1000,False,True,4,500,1000,328411,323978,3336672545.5,333667.3,3336.7,71.7
109,bio0_whs1_land4_list500_bld1250,False,True,4,500,1250,153758,151512,1577105483.1,157710.5,1577.1,33.5
110,bio0_whs1_land4_list1000_bld250,False,True,4,1000,250,1945247,1894996,18737341097.3,1873734.1,18737.3,419.1
111,bio0_whs1_land4_list1000_bld500,False,True,4,1000,500,1083695,1063621,10574731745.5,1057473.2,10574.7,235.3
112,bio0_whs1_land4_list1000_bld750,False,True,4,1000,750,547236,539574,5491132515.0,549113.3,5491.1,119.3
113,bio0_whs1_land4_list1000_bld1000,False,True,4,1000,1000,328398,323968,3336606191.8,333660.6,3336.6,71.7
114,bio0_whs1_land4_list1000_bld1250,False,True,4,1000,1250,153753,151508,1577105483.1,157710.5,1577.1,33.5
115,bio0_whs1_land4_list1500_bld250,False,True,4,1500,250,1785320,1745122,17107086311.2,1710708.6,17107.1,386.0
116,bio0_whs1_land4_list1500_bld500,False,True,4,1500,500,1051246,1033274,10250328571.5,1025032.9,10250.3,228.5
117,bio0_whs1_land4_list1500_bld750,False,True,4,1500,750,542042,534586,5438934281.5,543893.4,5438.9,118.2
118,bio0_whs1_land4_list1500_bld1000,False,True,4,1500,1000,326792,322412,3320039888.0,332004.0,3320.0,71.3
119,bio0_whs1_land4_list1500_bld1250,False,True,4,1500,1250,153626,151385,1575800527.2,157580.1,1575.8,33.5
120,bio1_whs0_land1_list500_bld250,True,False,1,500,250,1923451,1859699,19355237686.3,1935523.8,19355.2,411.3
121,bio1_whs0_land1_list500_bld500,True,False,1,500,500,969279,947649,9802452245.6,980245.2,9802.5,209.6
122,bio1_whs0_land1_list500_bld750,True,False,1,500,750,463396,456203,4760711132.4,476071.1,4760.7,100.9
123,bio1_whs0_land1_list500_bld1000,True,False,1,500,1000,271044,267007,2809282385.1,280928.2,2809.3,59.1
124,bio1_whs0_land1_list500_bld1250,True,False,1,500,1250,122707,120763,1287040341.9,128704.0,1287.0,26.7
125,bio1_whs0_land1_list1000_bld250,True,False,1,1000,250,1787210,1732600,17956822681.3,1795682.3,17956.8,383.2
126,bio1_whs0_land1_list1000_bld500,True,False,1,1000,500,951582,931159,9622633754.8,962263.4,9622.6,206.0
127,bio1_whs0_land1_list1000_bld750,True,False,1,1000,750,462642,455470,4752759748.9,475276.0,4752.8,100.7
128,bio1_whs0_land1_list1000_bld1000,True,False,1,1000,1000,271035,266998,2809182854.5,280918.3,2809.2,59.1
129,bio1_whs0_land1_list1000_bld1250,True,False,1,1000,1250,122707,120763,1287040341.9,128704.0,1287.0,26.7
130,bio1_whs0_land1_list1500_bld250,True,False,1,1500,250,1594396,1552097,15975623246.6,1597562.3,15975.6,343.3
131,bio1_whs0_land1_list1500_bld500,True,False,1,1500,500,910412,892582,9202548564.7,920254.9,9202.5,197.4
132,bio1_whs0_land1_list1500_bld750,True,False,1,1500,750,456626,449683,4691769652.0,469177.0,4691.8,99.5
